Terminal log file
Date: 1/23/2022 - 2:25:42 PM
-----------------------------------------------
22;21.77
23;21.77
24;21.77
25;21.76
26;21.76
27;21.76
28;21.76
29;21.76
30;21.76
31;21.76
32;21.75
33;21.74
34;21.75
35;21.74
36;21.72
37;21.72
38;21.72
39;21.71
40;21.71
41;21.69
42;21.67
43;21.67
0;0.00
1;21.65
2;21.66
3;21.65
4;21.65
5;21.66
6;21.70
7;21.73
8;21.76
9;21.79
10;21.85
11;21.89
12;21.98
13;22.04
14;22.10
15;22.17
16;22.22
17;22.28
18;22.33
19;22.39
20;22.45
21;22.51
22;22.58
23;22.69
24;22.77
25;22.83
26;22.90
27;22.96
28;23.03
29;23.11
30;23.17
31;23.24
32;23.31
33;23.37
34;23.44
35;23.57
36;23.62
37;23.67
38;23.75
39;23.82
40;23.89
41;23.95
42;24.00
43;24.09
44;24.17
45;24.24
46;24.36
47;24.45
48;24.52
49;24.59
50;24.66
51;24.73
52;24.81
53;24.88
54;24.96
55;25.03
56;25.09
57;25.22
58;25.31
59;25.37
60;25.44
61;25.51
62;25.57
63;25.64
64;25.70
65;25.77
66;25.83
67;25.89
68;26.06
69;26.12
70;26.18
71;26.26
72;26.33
73;26.39
74;26.47
75;26.55
76;26.62
77;26.70
78;26.76
79;26.85
80;26.98
81;27.04
82;27.09
83;27.15
84;27.20
85;27.28
86;27.34
87;27.41
88;27.45
89;27.53
90;27.60
91;27.72
92;27.77
93;27.84
94;27.90
95;27.94
96;28.00
97;28.07
98;28.13
99;28.18
100;28.24
101;28.30
102;28.42
103;28.39
104;28.38
105;28.54
106;28.64
107;28.72
108;28.79
109;28.85
110;28.89
111;28.94
112;28.97
113;29.11
114;29.17
115;29.21
116;29.27
117;29.33
118;29.40
119;29.46
120;29.50
121;29.55
122;29.59
123;29.64
124;29.77
125;29.85
126;29.90
127;29.92
128;30.00
129;30.05
130;30.10
131;30.13
132;30.20
133;30.27
134;30.34
135;30.46
136;30.51
137;30.57
138;30.62
139;30.67
